Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648640855356,56,83,81,21,70,36,62,59,492
1648640855366,53,84,79,19,61,36,63,58,491
1648640855374,55,81,79,19,62,34,64,60,491
1648640855381,51,83,80,17,67,32,65,61,494
1648640855389,53,79,76,15,63,33,63,61,497
1648640855397,52,77,78,19,69,37,65,58,492
1648640855407,53,82,79,19,65,32,60,61,497
1648640855416,52,80,76,18,65,34,62,61,496
1648640855425,55,83,78,18,67,34,66,64,492
1648640855433,54,78,76,15,62,30,60,59,491
1648640855441,57,80,74,19,68,34,61,58,493
1648640855451,53,80,77,19,65,31,63,58,491
1648640855459,52,83,80,16,68,34,66,59,496
1648640855467,55,77,79,23,69,35,62,58,491
1648640855477,53,80,78,17,65,33,60,60,493
1648640855484,53,83,78,18,66,33,62,58,493
1648640855492,53,81,76,21,65,33,64,62,495
1648640855500,53,82,79,18,66,34,63,59,496
1648640855508,51,78,76,22,66,35,60,62,494
1648640855516,54,83,77,19,66,34,61,60,493
1648640855523,53,82,75,19,65,33,66,59,494
1648640855531,54,82,76,18,65,32,63,59,491
1648640855539,57,82,77,18,69,36,64,59,490
1648640855548,53,80,76,20,66,31,62,59,492
1648640855556,57,79,75,17,66,35,64,59,492
1648640855564,53,80,79,16,66,34,59,61,491
1648640855573,52,80,79,19,65,33,60,60,496
1648640855581,51,80,76,19,66,35,67,62,496
1648640855589,52,77,79,17,65,34,63,57,497
1648640855598,53,84,77,20,66,37,63,59,491
1648640855606,56,83,79,22,71,38,64,62,498
1648640855614,49,79,75,17,65,32,63,61,498
1648640855622,52,80,78,18,65,35,64,58,493
1648640855631,55,81,81,22,59,42,57,67,492
1648640855640,64,72,86,14,76,33,65,55,507
1648640855648,58,82,85,11,79,30,69,63,492
1648640855656,67,85,71,29,59,38,75,61,490
1648640855664,40,76,95,11,79,26,74,53,504
1648640855672,54,83,80,19,65,32,61,59,491
1648640855682,54,78,75,19,64,35,64,61,494
1648640855691,51,79,77,17,66,32,64,60,491
1648640855698,52,80,75,15,67,35,67,62,495
1648640855706,51,79,76,16,71,34,65,62,489
1648640855714,54,81,79,18,68,34,64,63,494
1648640855722,51,75,76,14,65,33,62,59,492
1648640855729,54,81,79,19,65,33,60,60,495
1648640855738,52,78,76,19,65,34,63,60,494
1648640855746,49,79,80,19,66,32,60,61,496
1648640855753,50,77,77,17,67,31,62,55,491
1648640855761,51,82,80,24,65,32,63,60,493
1648640855771,50,80,84,19,65,29,60,58,492
1648640855782,55,79,78,19,68,36,66,58,494
1648640855790,56,81,79,17,66,36,63,62,496
1648640855799,58,82,80,18,68,33,60,59,491
1648640855807,51,78,79,15,67,32,65,60,496
1648640855815,55,80,76,17,64,31,60,58,492
1648640855823,52,78,77,20,68,39,62,61,494
1648640855832,52,81,79,21,68,34,63,58,494
1648640855840,47,80,76,19,67,33,64,59,492
1648640855848,54,80,82,20,69,35,63,60,492
1648640855857,52,78,77,19,71,37,65,63,494
1648640855865,55,84,77,20,68,35,63,58,492
1648640855873,52,83,77,17,66,34,64,62,493
1648640855883,53,81,76,17,64,33,63,62,494
1648640855891,52,81,80,19,68,34,63,60,496
1648640855899,56,81,76,18,63,33,62,61,489
1648640855909,53,80,78,19,66,32,66,60,494
1648640855918,48,84,76,19,68,36,63,62,494
1648640855926,50,83,79,22,68,35,63,62,492
1648640855934,57,78,75,16,65,30,66,61,495
1648640855942,52,83,83,26,66,33,63,62,489
1648640855951,49,80,77,15,67,36,63,58,490
1648640855959,54,84,78,23,68,35,62,60,490
1648640855966,49,80,77,20,65,34,61,57,489
1648640855974,51,86,77,18,67,37,67,59,500
1648640855982,49,80,81,20,68,34,64,60,495
1648640855990,54,79,78,21,67,30,62,58,494
1648640855998,48,80,78,18,69,31,60,58,491
1648640856005,52,81,79,19,68,35,68,57,490
1648640856013,57,77,78,21,68,31,61,56,491
1648640856022,53,79,79,18,68,34,64,60,494
1648640856031,51,82,81,17,70,34,64,60,494
1648640856039,46,80,80,18,68,36,63,61,493
1648640856050,55,82,79,21,65,32,61,60,491
1648640856058,49,76,77,17,67,34,64,60,494
1648640856066,54,82,78,19,65,38,61,62,493
1648640856074,53,79,78,20,68,34,64,61,494
1648640856084,53,81,77,20,68,34,64,60,488
1648640856094,52,78,77,17,64,34,63,59,494
1648640856101,55,79,75,19,63,31,63,60,492
1648640856109,48,78,80,16,67,32,64,60,492
1648640856117,50,81,78,18,68,33,64,58,490
1648640856125,52,78,77,19,64,32,65,53,488
1648640856134,49,77,76,20,65,35,66,61,493
1648640856142,55,80,75,16,65,32,63,58,491
1648640856150,50,81,78,17,66,31,58,58,496
1648640856158,56,83,77,16,66,32,62,60,491
1648640856165,54,82,78,19,69,32,60,60,495
1648640856175,54,80,76,16,65,34,62,60,493
1648640856183,54,81,77,18,70,37,66,62,491
1648640856190,53,79,80,17,66,32,61,58,492
1648640856198,52,81,79,22,67,35,64,57,496
1648640856207,54,85,76,18,68,35,63,61,494
1648640856215,50,78,77,19,66,31,60,59,491
1648640856223,53,82,79,17,66,31,63,60,492
1648640856231,52,81,80,21,66,31,65,59,495
1648640856240,54,82,79,21,68,36,66,60,489
1648640856247,57,82,79,19,68,33,64,59,493
1648640856255,51,80,76,17,64,32,61,56,492
1648640856263,48,80,78,20,68,35,64,61,496
1648640856272,51,78,74,18,67,34,64,60,492
1648640856280,53,81,80,21,68,34,65,58,491
1648640856288,56,79,76,21,68,34,64,59,490
1648640856295,50,78,76,18,66,30,62,61,491
1648640856303,52,78,77,21,68,35,61,59,492
1648640856311,56,81,81,20,68,33,62,60,490
1648640856320,52,78,76,18,71,30,61,63,486
1648640856328,55,80,78,18,68,34,66,61,492
1648640856336,53,80,78,21,69,34,67,63,492
1648640856343,55,82,79,21,67,34,65,61,493
1648640856351,51,79,80,21,68,33,61,60,492
1648640856359,56,81,80,19,67,36,66,59,491
1648640856369,54,78,77,18,66,32,60,60,492
1648640856377,52,82,78,19,67,34,64,63,489
1648640856385,52,83,78,21,66,33,58,59,492
1648640856394,53,81,78,19,69,37,62,59,494
1648640856401,56,79,79,21,67,33,63,62,495
1648640856409,51,80,77,20,69,35,64,59,493
1648640856417,55,84,74,12,69,33,62,61,492
1648640856425,49,94,71,30,57,42,58,72,491
1648640856433,58,74,88,14,76,24,72,53,505
1648640856440,53,87,71,30,57,46,63,50,509
1648640856448,48,86,75,15,73,35,65,65,491
1648640856456,65,74,73,31,60,26,75,54,505
1648640856464,40,94,72,34,60,36,68,51,508
1648640856472,50,93,74,23,77,28,78,56,500
1648640856480,43,94,69,30,60,42,57,62,490
1648640856488,54,80,72,21,67,33,64,59,498
1648640856499,55,82,78,19,65,31,61,58,490
1648640856507,51,80,76,19,67,33,62,63,491
1648640856516,54,78,77,19,67,32,62,57,490
1648640856523,59,79,77,20,63,32,60,59,490
1648640856531,50,80,77,19,68,36,67,61,491
1648640856539,49,79,81,19,66,33,64,58,499
1648640856548,52,81,78,14,76,31,66,58,501
1648640856557,58,94,74,29,57,46,58,59,498
1648640856565,56,73,89,21,67,36,65,57,500
1648640856573,63,73,84,18,67,39,59,63,493
1648640856581,46,94,68,29,58,45,57,72,491
1648640856589,62,70,92,12,68,34,67,58,491
1648640856598,49,83,76,20,69,33,65,62,496
1648640856606,53,80,76,19,66,36,64,58,492
1648640856614,53,81,79,20,68,36,64,62,493
1648640856623,51,82,77,14,67,34,63,58,491
1648640856676,56,80,80,21,69,33,65,60,490
1648640856684,52,80,74,20,65,33,65,62,495
1648640856691,54,80,80,18,67,33,63,61,491
1648640856701,54,80,79,20,67,30,62,60,494
1648640856709,52,81,80,22,65,35,63,61,493
1648640856717,53,81,79,23,66,37,62,62,494
1648640856724,53,77,75,19,64,32,66,62,493
1648640856733,54,75,77,16,63,34,61,59,492
1648640856741,53,81,78,18,66,35,62,58,492
1648640856749,54,81,78,19,67,36,66,63,493
1648640856758,54,84,78,21,67,38,63,61,494
1648640856767,49,80,76,20,64,32,60,62,490
1648640856775,52,78,76,19,67,32,62,59,494
1648640856783,52,80,77,18,64,33,63,58,493
1648640856790,53,80,77,19,65,32,64,58,487
1648640856801,52,79,82,18,69,40,62,59,492
1648640856812,56,80,78,22,69,35,63,62,492
1648640856820,59,81,80,21,65,32,66,60,489
1648640856828,55,78,77,16,65,32,62,61,490
1648640856835,55,80,79,19,66,34,63,60,489
1648640856843,55,82,79,19,65,31,61,60,492
1648640856851,47,84,79,21,68,31,63,57,492
1648640856861,55,79,90,11,80,40,57,72,489
1648640856870,45,91,71,32,58,46,57,66,505
1648640856878,52,84,78,28,59,46,55,69,499
1648640856885,64,71,85,16,71,34,59,72,494
1648640856893,61,70,86,14,70,35,66,55,496
1648640856903,52,76,76,19,60,34,61,59,491
1648640856911,54,80,79,19,66,34,63,59,489
1648640856919,56,81,78,19,67,33,65,59,492
1648640856927,53,79,78,18,66,36,62,61,489
1648640856937,58,83,81,24,66,33,64,58,493
1648640856946,52,82,80,22,67,32,62,58,489
1648640856954,53,83,80,19,67,34,62,58,491
1648640856961,52,84,79,22,65,35,63,60,493
1648640856969,52,81,78,15,66,31,61,59,488
1648640856977,50,79,75,19,65,32,64,62,496
1648640856985,54,80,76,18,68,30,65,60,491
1648640856994,55,81,76,19,68,33,62,61,490
1648640857002,56,78,77,16,63,30,61,59,489
1648640857010,58,79,87,11,78,22,67,70,488
1648640857018,62,74,71,29,69,25,65,65,490
1648640857026,63,73,90,20,63,43,56,72,485
1648640857034,50,95,72,19,76,29,67,61,501
1648640857041,42,87,77,19,71,44,56,63,494
1648640857049,52,92,76,29,59,39,69,61,491
1648640857058,55,84,75,16,62,31,60,59,491
1648640857071,51,77,75,18,65,37,61,59,491
1648640857079,53,79,77,20,69,34,64,61,491
1648640857087,50,78,74,17,66,33,63,58,491
1648640857095,51,81,78,19,65,33,63,58,491
1648640857103,52,82,80,20,67,33,64,59,495
1648640857111,52,83,80,20,68,31,64,59,490
1648640857120,54,80,72,19,67,34,63,62,492
1648640857127,44,93,79,22,69,26,75,55,498
1648640857135,65,75,85,8,77,30,67,58,495
1648640857143,43,84,74,23,72,25,74,54,497
1648640857151,60,73,90,12,72,34,63,70,486
1648640857159,47,95,70,25,61,41,63,66,497
1648640857167,62,74,81,27,60,43,54,70,493
1648640857175,62,72,84,25,59,45,57,70,489
1648640857183,49,75,84,13,75,34,56,73,488
1648640857196,56,83,77,22,65,34,65,58,488
1648640857267,54,81,77,19,68,33,64,60,491
1648640857274,56,80,78,20,64,33,63,61,492
1648640857282,49,76,74,17,68,34,64,61,494
1648640857290,54,79,78,20,66,34,63,60,489
1648640857298,58,81,81,19,68,33,66,59,493
1648640857307,53,81,76,21,70,32,61,57,492
1648640857315,53,79,79,20,66,36,62,58,486
1648640857323,50,77,75,16,66,33,63,57,490
1648640857330,53,81,75,22,69,37,61,59,491
1648640857339,52,78,76,16,65,33,62,60,493
1648640857347,49,80,75,17,67,33,60,58,490
1648640857355,51,77,77,17,62,30,61,59,488
1648640857363,47,79,78,19,68,31,62,57,489
1648640857373,55,79,79,20,66,35,64,60,493
1648640857382,53,82,78,17,67,33,61,60,491
1648640857390,50,83,78,19,67,32,63,55,490
1648640857398,51,78,81,21,67,32,62,61,488
1648640857405,53,83,77,19,66,29,66,62,495
1648640857414,53,77,77,21,66,33,67,63,491
